Block,Res.id,Sp,Treat,sp.fit
A,C.a,OD,LA,7.118247712
A,C.a,VG,LA,6.67022299
A,C.a,AA,LA,6.457890355
A,C.a,SR,LA,7.167037877
A,C.a,PC,LA,5.775438463
A,C.b,OD,LA,6.859764795
A,C.b,VG,LA,6.852544547
A,C.b,AA,LA,6.036164726
A,C.b,SR,LA,6.895104161
A,C.b,PC,LA,5.257495372
B,C.c,OD,LA,6.084173945
B,C.c,VG,LA,6.687464796
B,C.c,AA,LA,5.81711116
B,C.c,SR,LA,7.314362591
B,C.c,PC,LA,5.796491873
B,C.d,OD,LA,6.307317496
B,C.d,VG,LA,7.267625114
B,C.d,AA,LA,5.985733872
B,C.d,SR,LA,6.550263675
B,C.d,PC,LA,5.359278066
C,C.e,OD,LA,6.678881053
C,C.e,VG,LA,7.084346161
C,C.e,AA,LA,4.490240219
C,C.e,SR,LA,5.391026764
C,C.e,PC,LA,5.292586692
C,C.f,OD,LA,6.269096283
C,C.f,VG,LA,7.619023
C,C.f,AA,LA,5.480638923
C,C.f,SR,LA,7.309785924
C,C.f,PC,LA,5.103344692
D,C.g,OD,LA,6.881117919
D,C.g,VG,LA,7.19829042
D,C.g,AA,LA,NA
D,C.g,SR,LA,6.753604599
D,C.g,PC,LA,4.969813299
D,C.h,OD,LA,6.114945604
D,C.h,VG,LA,NA
D,C.h,AA,LA,5.391026764
D,C.h,SR,LA,6.929237168
D,C.h,PC,LA,4.758504206
E,C.i,OD,LA,5.81711116
E,C.i,VG,LA,6.745572427
E,C.i,AA,LA,5.614170316
E,C.i,SR,LA,7.619023
E,C.i,PC,LA,4.323186134
E,C.j,OD,LA,6.307317496
E,C.j,VG,LA,6.859764795
E,C.j,AA,LA,6.002828306
E,C.j,SR,LA,6.67022299
E,C.j,PC,LA,5.588852508
F,C.k,OD,LA,5.709480496
F,C.k,VG,LA,6.859764795
F,C.k,AA,LA,4.122515439
F,C.k,SR,LA,7.534762657
F,C.k,PC,LA,4.969813299
F,C.l,OD,LA,6.201956981
F,C.l,VG,LA,7.22859577
F,C.l,AA,LA,5.709480496
F,C.l,SR,LA,7.434679198
F,C.l,PC,LA,3.717050331
A,C.a,OD,AN,6.319740016
A,C.a,VG,AN,6.67022299
A,C.a,AA,AN,5.421798423
A,C.a,SR,AN,6.084173945
A,C.a,PC,AN,5.103344692
A,C.b,OD,AN,5.968342129
A,C.b,VG,AN,7.233558559
A,C.b,AA,AN,5.5088098
A,C.b,SR,AN,6.643789733
A,C.b,PC,AN,4.969813299
B,C.c,OD,AN,5.796491873
B,C.c,VG,AN,6.51025834
B,C.c,AA,AN,5.421798423
B,C.c,SR,AN,6.695975486
B,C.c,PC,AN,3.429368258
B,C.d,OD,AN,6.099678131
B,C.d,VG,AN,7.167037877
B,C.d,AA,AN,5.588852508
B,C.d,SR,AN,7.584773077
B,C.d,PC,AN,5.536208774
