Comm,Sp,Time,Count,Dilution,Dil_fact
Comm1,Pc,T1,8,100000,16.66666667
Comm1,Sr,T1,64,100000,16.66666667
Comm1,Aa,T1,87,100000,16.66666667
Comm1,Vg,T1,56,100000,16.66666667
Comm1,Od,T1,79,100000,16.66666667
Comm2,Pc,T1,13,100000,16.66666667
Comm2,Sr,T1,91,100000,16.66666667
Comm2,Aa,T1,104,100000,16.66666667
Comm2,Vg,T1,20,100000,16.66666667
Comm2,Od,T1,47,100000,16.66666667
Comm3,Pc,T1,7,100000,16.66666667
Comm3,Sr,T1,87,100000,16.66666667
Comm3,Aa,T1,87,100000,16.66666667
Comm3,Vg,T1,35,100000,16.66666667
Comm3,Od,T1,67,100000,16.66666667
Comm4,Pc,T1,0,100000,16.66666667
Comm4,Sr,T1,70,100000,16.66666667
Comm4,Aa,T1,98,100000,16.66666667
Comm4,Vg,T1,3,100000,16.66666667
Comm4,Od,T1,54,100000,16.66666667
Comm5,Pc,T1,3,100000,16.66666667
Comm5,Sr,T1,115,100000,16.66666667
Comm5,Aa,T1,107,100000,16.66666667
Comm5,Vg,T1,16,100000,16.66666667
Comm5,Od,T1,63,100000,16.66666667
Comm6,Pc,T1,2,100000,16.66666667
Comm6,Sr,T1,68,100000,16.66666667
Comm6,Aa,T1,78,100000,16.66666667
Comm6,Vg,T1,19,100000,16.66666667
Comm6,Od,T1,65,100000,16.66666667
Comm7,Pc,T1,4,100000,16.66666667
Comm7,Sr,T1,74,100000,16.66666667
Comm7,Aa,T1,67,100000,16.66666667
Comm7,Vg,T1,13,100000,16.66666667
Comm7,Od,T1,42,100000,16.66666667
Comm8,Pc,T1,9,100000,16.66666667
Comm8,Sr,T1,160,100000,16.66666667
Comm8,Aa,T1,134,100000,16.66666667
Comm8,Vg,T1,22,100000,16.66666667
Comm8,Od,T1,83,100000,16.66666667
Comm9,Pc,T1,11,100000,16.66666667
Comm9,Sr,T1,60,100000,16.66666667
Comm9,Aa,T1,78,100000,16.66666667
Comm9,Vg,T1,48,100000,16.66666667
Comm9,Od,T1,91,100000,16.66666667
Comm10,Pc,T1,1,100000,16.66666667
Comm10,Sr,T1,73,100000,16.66666667
Comm10,Aa,T1,37,100000,16.66666667
Comm10,Vg,T1,9,100000,16.66666667
Comm10,Od,T1,46,100000,16.66666667
Comm11,Pc,T1,6,100000,16.66666667
Comm11,Sr,T1,82,100000,16.66666667
Comm11,Aa,T1,160,100000,16.66666667
Comm11,Vg,T1,13,100000,16.66666667
Comm11,Od,T1,54,100000,16.66666667
Comm12,Pc,T1,16,100000,16.66666667
Comm12,Sr,T1,96,100000,16.66666667
Comm12,Aa,T1,491,100000,16.66666667
Comm12,Vg,T1,104,100000,16.66666667
Comm12,Od,T1,214,100000,16.66666667
Comm13,Pc,T1,1,100000,16.66666667
