TR.ID,Block,Res.id,PC.c,SR.c,AA.c,Vg.c,Od.c,ML,Dil,T0,Sp.rep,Treat
133,A,C.a,44,574,320,346,360,28.57142857,10000,166666.6667,OD,LA
134,A,C.a,57,554,192,230,230,28.57142857,10000,166666.6667,VG,LA
135,A,C.a,96,634,186,186,144,28.57142857,10000,166666.6667,AA,LA
136,A,C.a,47,378,192,166,166,28.57142857,10000,166666.6667,SR,LA
137,A,C.a,94,424,114,272,162,28.57142857,10000,166666.6667,PC,LA
138,A,C.b,190,574,70,480,278,28.57142857,10000,166666.6667,OD,LA
139,A,C.b,148,798,190,276,188,28.57142857,10000,166666.6667,VG,LA
140,A,C.b,110,438,122,422,270,28.57142857,10000,166666.6667,AA,LA
141,A,C.b,208,288,16,662,212,28.57142857,10000,166666.6667,SR,LA
142,A,C.b,56,370,84,424,238,28.57142857,10000,166666.6667,PC,LA
143,B,C.c,54,340,50,242,128,28.57142857,10000,166666.6667,OD,LA
144,B,C.c,48,468,68,234,104,28.57142857,10000,166666.6667,VG,LA
145,B,C.c,22,430,98,166,142,28.57142857,10000,166666.6667,AA,LA
146,B,C.c,72,438,140,230,58,28.57142857,10000,166666.6667,SR,LA
147,B,C.c,96,846,128,74,190,28.57142857,10000,166666.6667,PC,LA
148,B,C.d,43,598,124,250,160,28.57142857,10000,166666.6667,OD,LA
149,B,C.d,44,308,116,418,148,28.57142857,10000,166666.6667,VG,LA
150,B,C.d,23,410,116,284,178,28.57142857,10000,166666.6667,AA,LA
151,B,C.d,44,204,82,224,128,28.57142857,10000,166666.6667,SR,LA
152,B,C.d,62,404,164,348,130,28.57142857,10000,166666.6667,PC,LA
153,C,C.e,96,232,62,478,232,28.57142857,10000,166666.6667,OD,LA
154,C,C.e,122,120,40,348,396,28.57142857,10000,166666.6667,VG,LA
155,C,C.e,310,456,26,210,108,28.57142857,10000,166666.6667,AA,LA
156,C,C.e,168,64,34,340,316,28.57142857,10000,166666.6667,SR,LA
157,C,C.e,58,434,78,420,178,28.57142857,10000,166666.6667,PC,LA
158,C,C.f,180,666,26,294,154,28.57142857,10000,166666.6667,OD,LA
159,C,C.f,84,464,32,594,226,28.57142857,10000,166666.6667,VG,LA
160,C,C.f,58,114,70,286,130,28.57142857,10000,166666.6667,AA,LA
161,C,C.f,88,436,80,282,104,28.57142857,10000,166666.6667,SR,LA
162,C,C.f,48,60,28,410,174,28.57142857,10000,166666.6667,PC,LA
163,D,C.g,28,340,112,390,284,28.57142857,10000,166666.6667,OD,LA
164,D,C.g,54,332,110,390,130,28.57142857,10000,166666.6667,VG,LA
165,D,C.g,NA,NA,NA,NA,NA,28.57142857,10000,166666.6667,AA,LA
166,D,C.g,46,250,122,340,136,28.57142857,10000,166666.6667,SR,LA
167,D,C.g,42,390,118,238,186,28.57142857,10000,166666.6667,PC,LA
168,D,C.h,28,140,94,306,132,28.57142857,10000,166666.6667,OD,LA
169,D,C.h,NA,NA,NA,NA,NA,28.57142857,10000,166666.6667,VG,LA
170,D,C.h,36,308,64,376,80,28.57142857,10000,166666.6667,AA,LA
171,D,C.h,46,298,64,376,80,28.57142857,10000,166666.6667,SR,LA
172,D,C.h,34,218,72,360,116,28.57142857,10000,166666.6667,PC,LA
173,E,C.i,42,242,86,264,98,28.57142857,10000,166666.6667,OD,LA
174,E,C.i,32,544,162,248,126,28.57142857,10000,166666.6667,VG,LA
175,E,C.i,62,242,80,430,158,28.57142857,10000,166666.6667,AA,LA
176,E,C.i,58,594,134,612,210,28.57142857,10000,166666.6667,SR,LA
177,E,C.i,22,618,86,60,210,28.57142857,10000,166666.6667,PC,LA
178,E,C.j,36,352,118,366,160,28.57142857,10000,166666.6667,OD,LA
179,E,C.j,56,506,104,278,132,28.57142857,10000,166666.6667,VG,LA
