TR.ID,Block,Res.id,Count,Sp,Treat,N.fit2,sp.cfu,sp.fit,sp.rel.fit2
133,A,C.a,360,OD,LA,6.281999688,205714285.7,7.118247712,1.133118126
134,A,C.a,230,VG,LA,6.625771227,131428571.4,6.67022299,1.006708919
135,A,C.a,186,AA,LA,2.618438042,106285714.3,6.457890355,2.466313982
136,A,C.a,378,SR,LA,6.866933284,216000000,7.167037877,1.043702855
137,A,C.a,94,PC,LA,5.5088098,53714285.71,5.775438463,1.048400412
138,A,C.b,278,OD,LA,6.281999688,158857142.8,6.859764795,1.091971527
139,A,C.b,276,VG,LA,6.489639053,157714285.7,6.852544547,1.055920752
140,A,C.b,122,AA,LA,4.758504206,69714285.71,6.036164726,1.26850045
141,A,C.b,288,SR,LA,5.914274908,164571428.6,6.895104161,1.165840998
142,A,C.b,56,PC,LA,5.66296048,32000000,5.257495372,0.928400505
143,B,C.c,128,OD,LA,6.215750303,73142857.14,6.084173945,0.978831782
144,B,C.c,234,VG,LA,6.379638158,133714285.7,6.687464796,1.048251426
145,B,C.c,98,AA,LA,4.815662619,56000000,5.81711116,1.207956541
146,B,C.c,438,SR,LA,7.318918408,250285714.3,7.314362591,0.999377529
147,B,C.c,96,PC,LA,4.227875955,54857142.85,5.796491873,1.371017488
148,B,C.d,160,OD,LA,5.391026764,91428571.42,6.307317496,1.169965903
149,B,C.d,418,VG,LA,6.737475217,238857142.8,7.267625114,1.07868673
150,B,C.d,116,AA,LA,4.410197511,66285714.28,5.985733872,1.357248481
151,B,C.d,204,SR,LA,7.19829042,116571428.6,6.550263675,0.90997491
152,B,C.d,62,PC,LA,5.221127728,35428571.43,5.359278066,1.026459866
153,C,C.e,232,OD,LA,5.914274908,132571428.6,6.678881053,1.129281468
154,C,C.e,348,VG,LA,7.090076836,198857142.8,7.084346161,0.999191733
155,C,C.e,26,AA,LA,3.871201011,14857142.86,4.490240219,1.159908826
156,C,C.e,64,SR,LA,6.987885895,36571428.57,5.391026764,0.771481797
157,C,C.e,58,PC,LA,5.221127728,33142857.14,5.292586692,1.0136865
158,C,C.f,154,OD,LA,5.857116494,88000000,6.269096283,1.070338329
159,C,C.f,594,VG,LA,6.344131469,339428571.4,7.619023,1.200956039
160,C,C.f,70,AA,LA,4.869729841,40000000,5.480638923,1.125450303
161,C,C.f,436,SR,LA,7.156399478,249142857.1,7.309785924,1.021433466
162,C,C.f,48,PC,LA,3.940193882,27428571.43,5.103344692,1.295201415
163,D,C.g,284,OD,LA,6.35610766,162285714.3,6.881117919,1.082599334
164,D,C.g,390,VG,LA,6.052425247,222857142.8,7.19829042,1.189323309
165,D,C.g,NA,AA,LA,4.815662619,NA,NA,NA
166,D,C.g,250,SR,LA,7.25316703,142857142.9,6.753604599,0.931124924
167,D,C.g,42,PC,LA,2.618438042,24000000,4.969813299,1.898006834
168,D,C.h,132,OD,LA,5.686490977,75428571.42,6.114945604,1.075346049
169,D,C.h,NA,VG,LA,7.59171755,NA,NA,NA
170,D,C.h,64,AA,LA,5.103344692,36571428.57,5.391026764,1.05637128
171,D,C.h,298,SR,LA,7.049254841,170285714.3,6.929237168,0.982974417
172,D,C.h,34,PC,LA,4.564348191,19428571.43,4.758504206,1.042537512
173,E,C.i,98,OD,LA,6.036164726,56000000,5.81711116,0.96370981
174,E,C.i,248,VG,LA,6.935926156,141714285.7,6.745572427,0.972555399
175,E,C.i,80,AA,LA,5.796491873,45714285.71,5.614170316,0.968546224
176,E,C.i,594,SR,LA,6.173786104,339428571.4,7.619023,1.234092479
177,E,C.i,22,PC,LA,4.17658266,12571428.57,4.323186134,1.035101298
178,E,C.j,160,OD,LA,5.950642552,91428571.42,6.307317496,1.059938896
179,E,C.j,278,VG,LA,7.151037535,158857142.8,6.859764795,0.959268464
180,E,C.j,118,AA,LA,5.016333315,67428571.43,6.002828306,1.196656587
181,E,C.j,230,SR,LA,6.769477948,131428571.4,6.67022299,0.985337871
182,E,C.j,78,PC,LA,3.797093039,44571428.57,5.588852508,1.47187663
183,F,C.k,88,OD,LA,6.173786104,50285714.28,5.709480496,0.924794024
184,F,C.k,278,VG,LA,7.000464677,158857142.8,6.859764795,0.979901351
185,F,C.k,18,AA,LA,5.016333315,10285714.29,4.122515439,0.821818484
186,F,C.k,546,SR,LA,7.748336757,312000000,7.534762657,0.972436136
187,F,C.k,42,PC,LA,4.633341063,24000000,4.969813299,1.072619786
188,F,C.l,144,OD,LA,6.173786104,82285714.28,6.201956981,1.004562982
189,F,C.l,402,VG,LA,6.859764795,229714285.7,7.22859577,1.053767292
190,F,C.l,88,AA,LA,5.753932258,50285714.28,5.709480496,0.992274542
191,F,C.l,494,SR,LA,6.457890355,282285714.3,7.434679198,1.151255099
192,F,C.l,12,PC,LA,3.02390315,6857142.857,3.717050331,1.229222679
193,A,C.a,162,OD,AN,6.281999688,92571428.57,6.319740016,1.006007693
194,A,C.a,230,VG,AN,6.625771227,131428571.4,6.67022299,1.006708919
