SP,OD600
PC,0.047
PC,0.054
PC,0.055
PC,0.053
PC,0.054
PC,0.053
PC,0.053
PC,0.047
PC,0.047
PC,0.053
PC,0.055
PC,0.054
PC,0.054
PC,0.054
PC,0.054
PC,0.047
PC,0.047
PC,0.054
PC,0.056
PC,0.053
PC,0.054
PC,0.053
PC,0.054
PC,0.047
PC,0.047
PC,0.054
PC,0.055
PC,0.053
PC,0.054
PC,0.053
PC,0.053
PC,0.047
PC,0.047
PC,0.054
PC,0.056
PC,0.053
PC,0.054
PC,0.053
PC,0.053
PC,0.047
PC,0.047
PC,0.054
PC,0.056
PC,0.054
PC,0.054
PC,0.054
PC,0.054
PC,0.047
PC,0.047
PC,0.054
PC,0.056
PC,0.053
PC,0.055
PC,0.054
PC,0.054
PC,0.047
PC,0.047
PC,0.054
PC,0.056
PC,0.054
PC,0.054
PC,0.054
PC,0.054
PC,0.047
PC,0.047
PC,0.054
PC,0.056
PC,0.054
PC,0.054
PC,0.053
PC,0.054
PC,0.047
PC,0.047
PC,0.054
PC,0.056
PC,0.054
PC,0.055
PC,0.054
PC,0.054
PC,0.048
PC,0.047
PC,0.054
PC,0.056
PC,0.054
PC,0.054
PC,0.053
PC,0.054
PC,0.047
PC,0.047
PC,0.054
PC,0.055
PC,0.054
PC,0.054
PC,0.053
PC,0.054
PC,0.047
PC,0.047
PC,0.054
PC,0.056
PC,0.053
PC,0.054
PC,0.053
PC,0.054
PC,0.047
PC,0.047
PC,0.054
PC,0.055
PC,0.054
PC,0.054
PC,0.053
PC,0.054
PC,0.048
PC,0.047
PC,0.054
PC,0.055
PC,0.054
PC,0.054
PC,0.053
PC,0.054
PC,0.047
PC,0.047
PC,0.054
PC,0.056
PC,0.054
PC,0.054
PC,0.053
PC,0.054
PC,0.047
PC,0.047
PC,0.054
PC,0.056
PC,0.053
PC,0.054
PC,0.054
PC,0.054
PC,0.047
PC,0.048
PC,0.054
PC,0.056
PC,0.054
PC,0.055
PC,0.054
PC,0.054
PC,0.048
PC,0.047
PC,0.054
PC,0.056
PC,0.053
PC,0.054
PC,0.053
PC,0.054
PC,0.047
PC,0.047
PC,0.054
PC,0.056
PC,0.054
PC,0.055
PC,0.054
PC,0.054
PC,0.048
PC,0.047
PC,0.054
PC,0.056
PC,0.054
PC,0.054
PC,0.053
PC,0.054
PC,0.047
PC,0.047
PC,0.054
PC,0.056
PC,0.054
PC,0.054
PC,0.053
PC,0.054
PC,0.047
PC,0.047
PC,0.055
PC,0.056
PC,0.054
PC,0.055
PC,0.054
PC,0.054
PC,0.047
PC,0.047
PC,0.054
PC,0.056
PC,0.054
PC,0.055
PC,0.054
PC,0.054
PC,0.048
PC,0.047
PC,0.055
PC,0.056
PC,0.054
PC,0.055
PC,0.054
PC,0.054
PC,0.048
PC,0.047
PC,0.055
PC,0.056
PC,0.054
PC,0.055
PC,0.054
PC,0.054
PC,0.048
PC,0.047
PC,0.055
PC,0.056
PC,0.054
PC,0.055
PC,0.054
PC,0.054
PC,0.047
PC,0.047
PC,0.055
PC,0.056
PC,0.054
PC,0.055
PC,0.054
PC,0.055
PC,0.047
PC,0.047
PC,0.055
PC,0.056
PC,0.054
PC,0.055
PC,0.054
PC,0.054
PC,0.047
PC,0.047
PC,0.055
PC,0.056
PC,0.054
PC,0.055
PC,0.055
PC,0.055
PC,0.047
PC,0.047
PC,0.056
PC,0.057
PC,0.054
PC,0.055
PC,0.055
PC,0.055
PC,0.048
PC,0.047
PC,0.056
PC,0.057
PC,0.055
PC,0.056
PC,0.055
PC,0.055
PC,0.048
PC,0.047
PC,0.056
PC,0.057
PC,0.055
PC,0.056
PC,0.055
PC,0.055
PC,0.047
PC,0.047
PC,0.057
PC,0.057
PC,0.055
PC,0.056
PC,0.055
PC,0.056
PC,0.048
PC,0.047
PC,0.057
PC,0.057
PC,0.055
PC,0.056
PC,0.056
PC,0.056
PC,0.047
PC,0.047
PC,0.058
PC,0.058
PC,0.055
PC,0.057
PC,0.056
PC,0.056
PC,0.047
PC,0.047
PC,0.058
PC,0.058
PC,0.056
PC,0.057
PC,0.056
PC,0.057
PC,0.047
PC,0.047
PC,0.059
PC,0.058
PC,0.056
PC,0.057
PC,0.057
PC,0.057
PC,0.047
PC,0.047
PC,0.06
PC,0.059
PC,0.057
PC,0.058
PC,0.058
PC,0.058
PC,0.047
PC,0.047
PC,0.06
PC,0.059
PC,0.057
PC,0.058
PC,0.058
PC,0.058
PC,0.047
PC,0.047
PC,0.061
PC,0.06
PC,0.058
PC,0.059
PC,0.059
PC,0.059
PC,0.047
PC,0.047
PC,0.062
PC,0.06
PC,0.058
PC,0.059
PC,0.059
PC,0.059
PC,0.047
PC,0.047
PC,0.063
PC,0.061
PC,0.059
PC,0.061
PC,0.06
PC,0.06
PC,0.047
PC,0.047
PC,0.064
PC,0.062
PC,0.06
PC,0.061
PC,0.061
PC,0.061
PC,0.047
PC,0.047
PC,0.066
PC,0.063
PC,0.061
PC,0.062
PC,0.062
PC,0.062
PC,0.047
PC,0.047
PC,0.067
PC,0.064
PC,0.061
PC,0.063
PC,0.063
PC,0.063
PC,0.047
PC,0.047
PC,0.069
PC,0.065
PC,0.063
PC,0.065
PC,0.065
PC,0.064
PC,0.047
PC,0.047
PC,0.071
PC,0.066
PC,0.064
PC,0.066
PC,0.067
PC,0.066
PC,0.047
PC,0.047
PC,0.074
PC,0.067
PC,0.066
PC,0.067
PC,0.068
PC,0.068
PC,0.047
PC,0.047
PC,0.076
PC,0.069
PC,0.067
PC,0.07
PC,0.07
PC,0.07
PC,0.047
PC,0.047
PC,0.079
PC,0.071
PC,0.069
PC,0.072
PC,0.072
PC,0.072
PC,0.047
PC,0.047
PC,0.082
PC,0.073
PC,0.071
PC,0.074
PC,0.075
PC,0.074
PC,0.047
PC,0.047
PC,0.085
PC,0.075
