Block,Res.id,Count,Sp,Treat,ML,Dil,T0,N.fit,N.fit.2
A,C.a,360,OD,LA,28.57142857,10000,166666.6667,6.845879875,3.979414595
A,C.a,230,VG,LA,28.57142857,10000,166666.6667,7.142036575,4.18705396
A,C.a,186,AA,LA,28.57142857,10000,166666.6667,5.780743516,2.455919113
A,C.a,378,SR,LA,28.57142857,10000,166666.6667,7.67971364,3.611689815
A,C.a,94,PC,LA,28.57142857,10000,166666.6667,5.981414211,3.360375387
A,C.b,278,OD,LA,28.57142857,10000,166666.6667,6.674561392,3.979414595
A,C.b,276,VG,LA,28.57142857,10000,166666.6667,6.766191715,4.323186134
A,C.b,122,AA,LA,28.57142857,10000,166666.6667,5.730099783,0.315852949
A,C.b,288,SR,LA,28.57142857,10000,166666.6667,7.226936018,4.564348191
A,C.b,56,PC,LA,28.57142857,10000,166666.6667,4.882801922,3.206224707
B,C.c,128,OD,LA,28.57142857,10000,166666.6667,6.480044562,3.088441671
B,C.c,234,VG,LA,28.57142857,10000,166666.6667,6.165417854,4.434890124
B,C.c,98,AA,LA,28.57142857,10000,166666.6667,5.690359454,2.107612418
B,C.c,438,SR,LA,28.57142857,10000,166666.6667,7.719573989,4.895705327
B,C.c,96,PC,LA,28.57142857,10000,166666.6667,5.545177444,2.918542635
B,C.d,160,OD,LA,28.57142857,10000,166666.6667,6.820016365,3.91316521
B,C.d,418,VG,LA,28.57142857,10000,166666.6667,6.903747257,4.077053065
B,C.d,116,AA,LA,28.57142857,10000,166666.6667,5.429345629,2.513077527
B,C.d,204,SR,LA,28.57142857,10000,166666.6667,7.106606138,5.016333315
B,C.d,62,PC,LA,28.57142857,10000,166666.6667,5.429345629,1.925290862
C,C.e,232,OD,LA,28.57142857,10000,166666.6667,6.369900983,3.554531401
C,C.e,348,VG,LA,28.57142857,10000,166666.6667,6.104793232,4.041546376
C,C.e,26,AA,LA,28.57142857,10000,166666.6667,4.644390899,2.567144748
C,C.e,64,SR,LA,28.57142857,10000,166666.6667,7.38274645,4.853814385
C,C.e,58,PC,LA,28.57142857,10000,166666.6667,6.190315406,1.637608789
C,C.f,154,OD,LA,28.57142857,10000,166666.6667,6.403574198,3.611689815
C,C.f,594,VG,LA,28.57142857,10000,166666.6667,7.160845907,4.787491743
C,C.f,70,AA,LA,28.57142857,10000,166666.6667,5.755742213,1.568615918
C,C.f,436,SR,LA,28.57142857,10000,166666.6667,7.33171497,4.685300802
C,C.f,48,PC,LA,28.57142857,10000,166666.6667,5.480638923,2.918542635
